ImageId,EncodedPixels
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,1 4 257 7 513 8 769 9 1025 9 1281 9 1537 10 1793 10 2049 9 2305 8 2561 8 2817 9 3073 9 3329 10 3585 10 3841 10 4097 9 4353 7
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,16904 5 17158 10 17413 12 17667 14 17922 16 18178 17 18433 19 18689 19 18945 19 19201 19 19457 19 19713 19 19969 19 20226 18 20482 17 20739 16 20996 14 21254 10 21510 9 21768 5
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,36103 5 36357 9 36612 11 36867 12 37122 14 37378 14 37633 15 37889 16 38145 16 38401 15 38657 15 38913 15 39169 15 39426 13 39683 11 39941 7 40199 3
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,46081 7 46337 9 46593 11 46849 13 47105 14 47361 14 47617 15 47873 16 48129 17 48385 17 48641 17 48897 17 49153 17 49409 16 49665 16 49921 16 50177 15 50433 14 50689 14 50945 13 51201 13 51457 12 51713 13 51969 12 52225 10 52481 3
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,47143 1 47394 10 47649 13 47903 16 48158 18 48413 20 48669 21 48924 22 49180 23 49436 23 49692 24 49948 24 50204 24 50460 24 50716 24 50971 26 51226 27 51481 28 51735 30 51991 29 52247 29 52502 30 52758 29 53014 29 53270 27 53525 27 53781 26 54037 24 54292 23 54545 25 54798 27 55053 27 55308 27 55563 27 55818 27 56074 26 56329 25 56585 23 56841 21 57097 21 57353 21 57609 21 57866 20 58122 20 58378 19 58634 18 58889 18 59144 19 59399 18 59655 17 59910 16 60165 16 60418 19 60673 20 60929 19 61185 20 61441 19 61697 19 61953 18 62209 17 62465 17 62721 15 62977 14 63233 13 63489 13 63745 13 64001 12 64257 12 64513 11 64769 10 65025 8 65281 8
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,30220 4 30475 7 30730 9 30985 11 31241 11 31496 11 31752 10 32008 10 32264 11 32520 11 32777 9 33034 7 33292 4
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,6672 1 6926 7 6935 1 7180 13 7436 15 7691 17 7946 18 8202 19 8457 20 8713 20 8969 20 9225 20 9481 20 9738 20 9994 19 10251 18 10507 15 10764 13 11020 13 11278 10 11535 7
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,807 1 1055 11 1310 12 1565 14 1820 15 2076 16 2332 17 2588 18 2844 18 3100 18 3356 18 3613 18 3869 17 4125 17 4381 17 4638 16 4894 7 4905 4 5152 4
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,35366 2 35621 4 35877 4 36133 4 36388 5 36644 5 36898 8 37152 9 37406 10 37661 9 37917 8 38173 7 38428 8 38684 8 38942 4
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,16937 6 17191 11 17447 12 17702 14 17958 14 18213 16 18469 16 18725 16 18981 16 19237 16 19493 16 19749 16 20005 16 20261 15 20518 13 20775 12 21033 9 21292 4
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,10031 1 10285 7 10539 10 10794 13 11050 13 11306 14 11561 15 11817 15 12072 17 12328 17 12584 17 12840 16 13096 16 13353 15 13609 15 13865 15 14122 14 14378 13 14635 11 14894 7
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,27434 3 27689 5 27945 5 28201 5 28457 5 28712 7 28968 7 29225 6 29482 5 29739 3
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,62765 6 63020 9 63274 12 63530 13 63786 14 64041 15 64297 16 64553 16 64810 15 65066 15 65323 14
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,40498 5 40751 11 41007 12 41261 15 41516 17 41771 18 42027 19 42283 19 42539 20 42795 20 43051 20 43307 20 43564 19 43820 19 44076 19 44332 18 44589 17 44845 16 45102 1 45106 10 45364 1 45366 5
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,27451 1 27704 7 27959 10 28214 12 28469 14 28724 16 28980 16 29236 16 29491 17 29747 17 30003 17 30259 17 30515 17 30772 15 31029 14 31286 12 31542 11 31800 8 32058 5
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,54079 3 54335 5 54590 7 54846 7 54855 1 55102 12 55358 15 55612 18 55863 23 56118 25 56374 25 56630 4 56635 19 56886 13 56900 9 57142 13 57157 8 57398 13 57414 7 57655 2 57658 5 57664 4 57670 8 57914 5 57920 4 57926 9 58170 5 58177 13 58426 5 58433 13 58682 19 58938 16 59195 13 59452 12 59709 10 59966 8 60222 6 60479 4 60736 2
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,1341 8 1595 11 1851 12 2106 13 2361 14 2617 15 2873 14 3129 14 3385 13 3642 12 3898 12 4155 9 4412 5
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,32581 1 32588 3 32836 12 33093 12 33349 12 33604 13 33858 16 34113 17 34369 18 34624 20 34879 23 35134 26 35390 27 35646 27 35902 27 36158 26 36414 26 36670 26 36927 25 37183 26 37440 26 37696 26 37953 25 38209 25 38466 24 38723 22 38980 21 39237 21 39494 21 39750 26 40006 28 40262 29 40519 28 40775 33 41032 33 41289 32 41548 30 41805 29 42067 23 42324 22 42581 22 42837 30 43094 30 43351 30 43608 30 43865 29 44122 28 44379 27 44637 25 44897 21 45155 19 45412 19 45668 19 45924 19 46180 19 46437 18 46693 17 46949 16 47206 15 47463 12 47721 9 47979 2
